id,pays,prix,carburant,km,statut_vendeur_particulier,departement_2,marque_2,annee,mois,poid,id
7390706,FR,17990,Essence,15492,0,76,peugeot,2016,10,225,2016.Essence
9029516,FR,13950,Diesel,19671,0,64,citroen,2017,2,1786,2017.Diesel
8910139,FR,5300,Diesel,89800,1,71,citroen,2017,2,1786,2017.Diesel
9002927,FR,8290,Diesel,148500,0,22,citroen,2017,2,1786,2017.Diesel
9006785,FR,9390,Diesel,151600,0,29,citroen,2017,2,1786,2017.Diesel
8998618,FR,17990,Diesel,24536,0,16,opel,2017,2,1786,2017.Diesel
8892506,FR,25490,Diesel,46897,0,6,jaguar,2017,2,1786,2017.Diesel
9004234,FR,11290,Essence,5,0,25,peugeot,2017,2,683,2017.Essence
8916847,FR,6000,Essence,43340,1,1,alfa romeo,2017,2,683,2017.Essence
9006415,FR,7500,Essence,34877,0,29,peugeot,2017,2,683,2017.Essence
9011074,FR,4290,Diesel,123000,0,35,peugeot,2017,2,1786,2017.Diesel
8944385,FR,6980,Diesel,100979,0,59,peugeot,2017,2,1786,2017.Diesel
9012740,FR,5990,Diesel,146090,0,37,peugeot,2017,2,1786,2017.Diesel
9031974,FR,4800,Diesel,101600,0,67,peugeot,2017,2,1786,2017.Diesel
19061126,FR,5500,Diesel,179300,1,67,peugeot,2018,2,424,2018.Diesel
19137481,FR,3500,Diesel,160000,1,17,peugeot,2018,2,424,2018.Diesel
19180742,FR,2200,Essence,133000,1,29,mazda,2018,2,155,2018.Essence
18799130,FR,8490,Diesel,130100,0,58,peugeot,2018,2,424,2018.Diesel
19147964,FR,6300,Diesel,184000,1,72,peugeot,2018,2,424,2018.Diesel
18998516,FR,0,Essence,52000,1,94,porsche,2018,2,155,2018.Essence
18732155,FR,9400,Essence,216000,1,33,porsche,2018,2,155,2018.Essence
18742103,FR,17000,Essence,172000,1,47,porsche,2018,2,155,2018.Essence
19134469,FR,11900,Diesel,120000,1,45,mitsubishi,2018,2,424,2018.Diesel
11821960,FR,8490,Diesel,66150,0,78,alfa romeo,2017,7,1786,2017.Diesel
10393548,FR,8690,Essence,11156,0,85,peugeot,2017,5,683,2017.Essence
10418478,FR,7990,Diesel,94440,0,46,peugeot,2017,5,1786,2017.Diesel
10297789,FR,13400,Essence,19387,0,42,peugeot,2017,5,683,2017.Essence
7489096,FR,16490,Diesel,22983,0,91,renault,2016,10,1102,2016.Diesel
7467270,FR,2990,Diesel,173000,0,60,renault,2016,10,1102,2016.Diesel
7405157,FR,6460,Diesel,124820,0,37,renault,2016,10,1102,2016.Diesel
7390570,FR,18990,Essence,100,0,72,renault,2016,10,225,2016.Essence
7447788,FR,17750,Diesel,10,0,83,dacia,2016,10,1102,2016.Diesel
7389105,FR,19900,Diesel,93300,0,29,bmw,2016,10,1102,2016.Diesel
7803266,FR,20500,Diesel,57000,1,59,bmw,2016,11,1102,2016.Diesel
7784358,FR,4490,Diesel,78500,1,95,peugeot,2016,11,1102,2016.Diesel
10038702,FR,6100,Diesel,145818,0,33,peugeot,2017,4,1786,2017.Diesel
10067559,FR,10490,Diesel,10040,0,79,peugeot,2017,4,1786,2017.Diesel
9931385,FR,15990,Essence,10,0,11,peugeot,2017,4,683,2017.Essence
10082876,FR,14950,Essence,26000,1,6,peugeot,2017,4,683,2017.Essence
10095773,FR,13800,Diesel,25081,0,15,peugeot,2017,4,1786,2017.Diesel
10750895,FR,36895,Diesel,10,0,43,audi,2017,6,1786,2017.Diesel
10651677,FR,16990,Diesel,70254,0,34,bmw,2017,6,1786,2017.Diesel
10690485,FR,7490,Diesel,144500,0,57,alfa romeo,2017,6,1786,2017.Diesel
12526248,FR,5790,Diesel,165000,0,68,citroen,2017,8,1786,2017.Diesel
8545459,FR,14990,Diesel,25424,0,33,citroen,2017,1,1786,2017.Diesel
8663915,FR,23911,Autre,12311,0,83,lexus,2017,2,9,2017.Autre
8605116,FR,10290,Essence,11890,0,83,peugeot,2017,1,683,2017.Essence
8610917,FR,5500,Essence,118000,1,69,peugeot,2017,1,683,2017.Essence
10220892,FR,5990,Diesel,101000,1,31,peugeot,2017,5,1786,2017.Diesel
10137171,FR,10990,Essence,2600,0,85,peugeot,2017,4,683,2017.Essence
10467330,FR,3490,Diesel,94000,0,59,peugeot,2017,5,1786,2017.Diesel
10454887,FR,11690,Essence,27654,0,17,peugeot,2017,5,683,2017.Essence
10572906,FR,11990,Essence,14000,0,25,peugeot,2017,5,683,2017.Essence
10618636,FR,16990,Diesel,13263,0,76,peugeot,2017,6,1786,2017.Diesel
7451296,FR,23990,Diesel,11848,0,51,audi,2016,10,1102,2016.Diesel
7455592,FR,38900,Diesel,12808,0,72,audi,2016,10,1102,2016.Diesel
7381629,FR,17000,Diesel,90000,1,6,bmw,2016,10,1102,2016.Diesel
7414198,FR,36900,Diesel,8900,0,78,bmw,2016,10,1102,2016.Diesel
7421094,FR,5750,Essence,90000,1,6,peugeot,2016,10,225,2016.Essence
7488505,FR,14990,Essence,21649,0,51,peugeot,2016,10,225,2016.Essence
7369804,FR,39900,Diesel,9800,0,28,bmw,2016,10,1102,2016.Diesel
7497883,FR,13700,Essence,5063,1,45,fiat,2016,10,225,2016.Essence
7386623,FR,7800,Diesel,156000,1,62,peugeot,2016,10,1102,2016.Diesel
7499763,FR,9990,Essence,14112,0,89,opel,2016,10,225,2016.Essence
9034638,FR,8990,Essence,82647,0,71,citroen,2017,2,683,2017.Essence
9009775,FR,5490,Essence,42500,0,33,peugeot,2017,2,683,2017.Essence
9015524,FR,7590,Diesel,92256,0,41,peugeot,2017,2,1786,2017.Diesel
9033487,FR,6990,Diesel,141000,0,69,peugeot,2017,2,1786,2017.Diesel
8606241,FR,7700,Diesel,135000,1,25,peugeot,2017,1,1786,2017.Diesel
8610140,FR,7499,Diesel,139900,1,67,peugeot,2017,1,1786,2017.Diesel
8610172,FR,9500,Diesel,73000,1,67,peugeot,2017,1,1786,2017.Diesel
8653897,FR,6990,Diesel,166600,1,26,peugeot,2017,2,1786,2017.Diesel
8654827,FR,6200,Essence,45000,1,69,peugeot,2017,2,683,2017.Essence
8559826,FR,4200,Diesel,173000,1,44,peugeot,2017,1,1786,2017.Diesel
8616911,FR,5900,Diesel,98200,1,44,peugeot,2017,1,1786,2017.Diesel
8627707,FR,3999,Diesel,124100,1,59,peugeot,2017,1,1786,2017.Diesel
8647681,FR,3990,Diesel,163000,1,68,peugeot,2017,2,1786,2017.Diesel
8519257,FR,24500,Diesel,19500,1,6,peugeot,2017,1,1786,2017.Diesel
8534673,FR,18900,Diesel,24000,1,72,peugeot,2017,1,1786,2017.Diesel
8544122,FR,4300,Diesel,125000,1,59,peugeot,2017,1,1786,2017.Diesel
8578982,FR,21600,Diesel,12000,1,68,peugeot,2017,1,1786,2017.Diesel
8592691,FR,8250,Diesel,98200,1,59,peugeot,2017,1,1786,2017.Diesel
8610309,FR,35000,Essence,6000,1,67,peugeot,2017,1,683,2017.Essence
8616414,FR,33500,Essence,6000,1,67,peugeot,2017,1,683,2017.Essence
8618867,FR,6900,Diesel,123000,1,72,peugeot,2017,1,1786,2017.Diesel
8631567,FR,18500,Diesel,21000,1,33,peugeot,2017,1,1786,2017.Diesel
8642609,FR,6000,Essence,126500,1,77,peugeot,2017,1,683,2017.Essence
11639561,FR,12950,Essence,87700,1,29,audi,2017,7,683,2017.Essence
10273493,FR,49900,Diesel,48500,0,88,bmw,2017,5,1786,2017.Diesel
10327011,FR,5990,Diesel,168101,0,13,peugeot,2017,5,1786,2017.Diesel
10345749,FR,4290,Diesel,130000,0,59,peugeot,2017,5,1786,2017.Diesel
